ICD1,ICD2,Log2_Ratio,ICD11_1,ICD11_2
E11,R73,2.49369444315,5A11,MA18.0Z
B34,M54,1.26311,1D9Z,ME84
J10,R13,1.054288,1E30,MD93
L29,R50,1.102877,EC90,MG26
B17,R46,1.321535,1E50,MB23
B23,B24,2.64617240184,1C62,1C62.1
R05,R10,1.168676,MD12,MD81.4
J42,L30,1.338731,CA20.1Z,EA8Z
J45,R50,1.488944,CA23.32,MG26
F07,G91,2.54106858592,6E6Z,8D64
R53,T73,1.206114,MG25,NF07
M54,N30,1.048842,ME84,GC00
N30,R39,1.72998723397,GC00,MF5Y
E11,E78,2.26254954781,5A11,5C8Z
G24,L29,1.1814,8A02,EC90
B17,K76,2.6573484261,1E50,DB99.Y
F07,F18,2.00623611192,6E6Z,6C4B
L30,R50,1.317862,EA8Z,MG26
R26,R60,1.340792,MB44,MG29
F15,K77,1.508029,6C4C,1H0Z
R11,R53,1.347215,MD90.1,MG25
B24,R12,1.211976,1C62.1,MD95
L29,T73,1.140524,EC90,NF07
R50,R60,1.7391869175,MG26,MG29
B18,F12,1.374981,1E51,6C41
B17,B34,2.34982210102,1E50,1D9Z
L30,R39,1.163041,EA8Z,MF5Y
L30,T73,1.37314,EA8Z,NF07
B24,F22,1.161249,1C62.1,6A24
R39,T73,1.79939604954,MF5Y,NF07
F06,I10,1.230601,6E6Z,BA00
K25,N30,1.462699,DA60,GC00
B86,L29,1.70359625826,1G04,EC90
I48,I49,2.48052386564,BC81,BC64
R46,R50,1.063007,MB23,MG26
L21,L30,2.13945934672,EA81,EA8Z
L89,R33,2.62263570287,EH90,MF50.3
J10,Z25,1.72676982706,1E30,QC01
B24,K77,1.49757,1C62.1,1H0Z
K77,R17,2.17766347932,1H0Z,ME10.1
B95,R46,1.37092,XN9ZG,MB23
J42,L29,1.07076,CA20.1Z,EC90
R11,R50,2.11834661946,MD90.1,MG26
K25,R50,1.470589,DA60,MG26
J98,R53,1.6878478276,CB40.Y,MG25
M54,T73,1.091564,ME84,NF07
B15,R44,1.264076,1E50.0,MB27
F07,G93,2.19139273842,6E6Z,8E47
I50,R18,2.58396054215,BD1Z,ME04
B17,R12,1.375968,1E50,MD95
F98,Z04,1.460571,6B0Z,MF3Y
G24,R25,2.46007125289,8A02,MB46
F98,R53,1.349467,6B0Z,MG25
B17,R60,1.9528923352,1E50,MG29
J44,J45,2.03102689562,CA22,CA23.32
F03,R41,2.11164535583,6D8Z,MB21
J00,T73,1.141429,CA00,NF07
F15,Z04,1.214159,6C4C,MF3Y
J45,K77,1.054148,CA23.32,1H0Z
E66,N30,1.266791,5B81,GC00
M10,M14,2.27278464182,FA25.0,FA38.Y
F06,G93,2.07436718364,6E6Z,8E47
A46,B95,2.51576960279,1B70,XN9ZG
B18,Z04,1.54261621001,1E51,MF3Y
B24,R53,1.123539,1C62.1,MG25
F84,J00,1.220705,6A0Z,CA00
I10,R41,1.134703,BA00,MB21
F07,I61,1.67900319425,6E6Z,8B00
B17,F22,1.308615,1E50,6A24
B17,M54,1.220563,1E50,ME84
E16,R73,2.57941871682,5A4Z,MA18.0Z
F62,R41,2.02902527379,6B41,MB21
H10,L29,1.457906,9A60,EC90
B34,R12,1.317518,1D9Z,MD95
F98,R12,1.377739,6B0Z,MD95
R06,R39,1.153113,MD11,MF5Y
J42,R06,1.300338,CA20.1Z,MD11
R06,T73,1.359563,MD11,NF07
R26,R33,1.80984194957,MB44,MF50.3
F06,F62,2.08675043983,6E6Z,6B41
B24,R50,1.86171837987,1C62.1,MG26
B34,J45,1.61421555192,1D9Z,CA23.32
G47,J98,1.265473,7B2Z,CB40.Y
B17,R50,2.06386772484,1E50,MG26
E88,G47,1.125178,5D0Y,7B2Z
K59,R46,1.60998534403,DD91,MB23
E51,G93,2.56104387381,5B5A,8E47
N30,R60,1.63727251567,GC00,MG29
J00,M40,1.37819,CA00,FA70.2
G91,R41,2.29899002606,8D64,MB21
A49,R05,1.301634,1C41,MD12
A41,R33,2.53356042482,1G40,MF50.3
J00,N30,1.034757,CA00,GC00
B17,R10,2.30083225943,1E50,MD81.4
R12,R13,1.162949,MD95,MD93
L20,L30,2.1780603147,EA80,EA8Z
